# t (s)	mx ()	my ()	mz ()
1.5815547579893607e-10	0.09134314	0.14690948	0.40005305
1.5906365068276443e-10	0.08400738	0.14364357	0.40205684
1.601567473551752e-10	0.07695496	0.1391193	0.40440848
1.6106958386548312e-10	0.07265204	0.13486432	0.40634507
1.621659386352334e-10	0.06949907	0.12915525	0.40867272
1.6307843531713055e-10	0.068609506	0.123942465	0.41066456
1.6417115017689218e-10	0.06968457	0.11730833	0.41313508
1.650813905308721e-10	0.072351895	0.11158668	0.4152688
1.6617746756849754e-10	0.07756061	0.10460461	0.41792914
1.6709425777515032e-10	0.08340898	0.09888524	0.4202245
1.6801567308521067e-10	0.09045026	0.09339009	0.42260545
1.6912629179419536e-10	0.10034215	0.08725894	0.4255171
1.7005337842822501e-10	0.109643035	0.082655884	0.4279671
1.7116884523059574e-10	0.12176782	0.0778399	0.43090126
1.7210233144866707e-10	0.1323801	0.07455868	0.43331066
1.7304122166573962e-10	0.14314477	0.07206568	0.43568566
1.7417457042282306e-10	0.15585543	0.070247054	0.43846443
1.7511614245100091e-10	0.16584766	0.06974394	0.44067693
1.7604892898356343e-10	0.17498368	0.07014787	0.44281125
1.7715997051474884e-10	0.18468201	0.071848005	0.44529644
1.7808107239873675e-10	0.19166388	0.07423874	0.44733176
1.7900041162494699e-10	0.19761822	0.077439494	0.4493626
1.800978197074659e-10	0.20327291	0.08228188	0.45183483
1.810020985741805e-10	0.20664117	0.08703897	0.4539481
1.82080072005797e-10	0.20911168	0.0934316	0.4565799
1.8315571707128962e-10	0.2098826	0.10033866	0.45937166
1.8405189860574227e-10	0.20921998	0.106450394	0.4618207
1.8512746557267483e-10	0.20685953	0.114266895	0.46489283
1.8602468627728666e-10	0.20363043	0.12111325	0.46756735
1.8710482065672084e-10	0.19837189	0.12951423	0.47089833
1.8800912796237615e-10	0.19299708	0.13643518	0.47376102
1.8910040207658672e-10	0.18556862	0.14439239	0.47727278
1.9001437907946248e-10	0.17871016	0.15063043	0.4802244
1.911158067115477e-10	0.16985516	0.15747696	0.4837621
1.9203891816990716e-10	0.16208622	0.16247739	0.48667645
1.9315331597318446e-10	0.15250528	0.16740437	0.49011642
1.940815640073487e-10	0.1445669	0.17045552	0.4928848
1.9500495107097904e-10	0.13689204	0.17244303	0.495538
1.961079622771724e-10	0.12821014	0.17329302	0.49859172
1.9702261235538566e-10	0.121585034	0.1725949	0.5010401
1.9811602611228168e-10	0.1145892	0.16998385	0.50388265
1.990238589181039e-10	0.10966631	0.16635461	0.50619584
2.0010938433180877e-10	0.10490239	0.16041201	0.50891954
2.0101046900764604e-10	0.101867385	0.15433529	0.5111745
2.0208547624543488e-10	0.09931136	0.14597233	0.5138793
2.0315497846836384e-10	0.09793949	0.13671476	0.51659614
2.040441355341394e-10	0.09771438	0.12849368	0.5188763
2.0511077130245266e-10	0.098535635	0.11823918	0.52163446
2.0600077579223006e-10	0.10006998	0.10955588	0.52395296
2.0706972826711093e-10	0.10277731	0.099213496	0.5267404
2.081390381961526e-10	0.10626474	0.089240916	0.52953875
2.0903159389433996e-10	0.109682165	0.081433535	0.53188014
2.1010526451206713e-10	0.114319906	0.07295222	0.53466374
2.1100259838218304e-10	0.11859511	0.06681817	0.53694546
2.120825986425228e-10	0.12418679	0.060720105	0.5396251
2.1316448828766118e-10	0.13022733	0.05607733	0.54222775
2.1406758960249816e-10	0.13553339	0.053406402	0.544336
2.1515422224485962e-10	0.14209564	0.051832605	0.5467981
